longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity,median_price
-118.93,34.4,17,3275,599.0,2422,637,3.7092,190500,<1H OCEAN,187959.0
-117.16,32.78,24,3566,765.0,1697,722,3.6375,178600,NEAR OCEAN,196183.0
-117.19,32.83,30,2288,448.0,1240,469,4.0114,169800,NEAR OCEAN,183291.0
-121.9,37.45,16,2952,446.0,1525,460,5.6063,320500,<1H OCEAN,245494.0
-118.38,34.22,32,362,100.0,348,102,2.2679,150000,<1H OCEAN,161913.01
-118.35,34.17,47,858,170.0,365,171,2.0385,225000,<1H OCEAN,197409.0
-118.3,33.74,47,2223,410.0,1163,413,4.4671,270800,NEAR OCEAN,306931.0
-122.09,37.97,5,5303,779.0,2017,727,6.9961,294100,NEAR BAY,378224.07
-118.01,33.94,36,1921,329.0,969,327,4.9191,188700,<1H OCEAN,215368.0
-117.71,33.47,17,2681,454.0,830,410,5.5507,345700,<1H OCEAN,282655.02
-120.47,34.94,17,1368,308.0,642,303,1.8633,109400,<1H OCEAN,194324.0
-121.11,41.07,26,1707,308.0,761,250,2.7188,48100,INLAND,78878.0
-118.42,33.92,25,3521,852.0,1524,764,3.8086,361300,<1H OCEAN,372282.16
-118.36,34.07,52,2046,451.0,944,435,3.4265,456900,<1H OCEAN,314176.05
-121.64,39.11,18,3212,542.0,1817,508,3.3793,92900,INLAND,107187.0
-118.35,33.93,34,617,189.0,810,180,1.9766,162500,<1H OCEAN,158853.0
-117.31,33.19,11,20944,3753.0,8738,3441,4.3762,215500,NEAR OCEAN,238730.0
-122.29,40.39,17,1682,332.0,887,316,1.8438,76400,INLAND,76395.0
-117.92,34.06,35,2894,467.0,1420,479,5.184,224900,<1H OCEAN,227920.0
-122.08,37.63,37,1793,364.0,1534,346,3.6458,156600,NEAR BAY,164844.0
-121.67,38.54,13,6141,1019.0,2553,967,4.2432,326500,INLAND,169022.0
-118.33,33.89,42,1816,338.0,897,306,5.1874,230800,<1H OCEAN,264107.03
-122.42,37.62,36,1017,165.0,407,159,4.8,306800,NEAR OCEAN,306660.03
-120.45,34.66,7,3329,504.0,1462,452,4.7875,198300,NEAR OCEAN,221150.01
-118.31,34.02,52,1173,284.0,814,295,2.45,111400,<1H OCEAN,143515.0
-118.08,34.07,32,4089,975.0,3775,955,3.29,205500,<1H OCEAN,197103.0
-118.04,33.88,17,4807,838.0,3059,853,5.7619,297300,<1H OCEAN,288215.01
-122.05,36.96,30,971,185.0,644,173,4.2045,226500,NEAR OCEAN,271521.07
-118.43,34.3,33,2443,498.0,1601,484,4.0223,146000,<1H OCEAN,180413.0
-117.14,33.15,16,1129,198.0,758,178,5.0346,174600,<1H OCEAN,184753.0
-121.86,37.66,22,3634,664.0,1699,640,4.1597,293200,INLAND,193709.0
-118.35,33.8,32,1434,296.0,672,285,4.875,311700,<1H OCEAN,335064.0
-118.25,34.02,35,1368,486.0,2239,461,1.913,114300,<1H OCEAN,126762.0
-121.9,37.39,42,42,14.0,26,14,1.7361,500001,<1H OCEAN,191823.0
-117.21,33.13,19,3068,596.0,912,554,3.775,168000,NEAR OCEAN,246246.02
-119.63,36.58,22,1794,435.0,1127,359,1.2647,55300,INLAND,55725.0
-117.0,34.89,29,2637,512.0,1188,446,2.99,69400,INLAND,71228.0
-122.54,37.74,42,2006,415.0,1230,435,4.1786,271100,NEAR OCEAN,279631.0
-118.15,33.78,13,3056,861.0,1600,824,3.3003,207800,NEAR OCEAN,241342.02
-117.27,33.2,34,1852,322.0,978,332,4.3542,156900,<1H OCEAN,265620.07
-117.1,32.71,29,3422,713.0,2775,644,1.7075,86900,NEAR OCEAN,94189.0
-118.16,33.97,39,1444,447.0,1890,416,2.1181,176600,<1H OCEAN,160516.0
